waveform	Ch0		Gen	
t0	10/3/2021  19:53:50.428034		10/3/2021  19:53:50.428036	
delta t	5.000000E-6		5.000000E-6	

time[0]	Ch0	time[1]	Gen
10/3/2021  19:53:50.428644	-2.909272E+0	10/3/2021  19:53:50.428646	-2.040281E-1
10/3/2021  19:53:50.428649	-2.885731E+0	10/3/2021  19:53:50.428651	-2.020664E-1
10/3/2021  19:53:50.428654	-2.858267E+0	10/3/2021  19:53:50.428656	-1.997777E-1
10/3/2021  19:53:50.428659	-2.827533E+0	10/3/2021  19:53:50.428661	-1.994507E-1
10/3/2021  19:53:50.428664	-2.795491E+0	10/3/2021  19:53:50.428666	-1.978159E-1
10/3/2021  19:53:50.428669	-2.759526E+0	10/3/2021  19:53:50.428671	-1.955272E-1
10/3/2021  19:53:50.428674	-2.721599E+0	10/3/2021  19:53:50.428676	-1.919307E-1
10/3/2021  19:53:50.428679	-2.680075E+0	10/3/2021  19:53:50.428681	-1.889881E-1
10/3/2021  19:53:50.428684	-2.636590E+0	10/3/2021  19:53:50.428686	-1.860455E-1
10/3/2021  19:53:50.428689	-2.590816E+0	10/3/2021  19:53:50.428691	-1.834298E-1
10/3/2021  19:53:50.428694	-2.541445E+0	10/3/2021  19:53:50.428696	-1.808142E-1
10/3/2021  19:53:50.428699	-2.491094E+0	10/3/2021  19:53:50.428701	-1.778716E-1
10/3/2021  19:53:50.428704	-2.436492E+0	10/3/2021  19:53:50.428706	-1.749289E-1
10/3/2021  19:53:50.428709	-2.380255E+0	10/3/2021  19:53:50.428711	-1.693707E-1
10/3/2021  19:53:50.428714	-2.321403E+0	10/3/2021  19:53:50.428716	-1.661011E-1
10/3/2021  19:53:50.428719	-2.261570E+0	10/3/2021  19:53:50.428721	-1.618507E-1
10/3/2021  19:53:50.428724	-2.198140E+0	10/3/2021  19:53:50.428726	-1.585811E-1
10/3/2021  19:53:50.428729	-2.133403E+0	10/3/2021  19:53:50.428731	-1.543306E-1
10/3/2021  19:53:50.428734	-2.066050E+0	10/3/2021  19:53:50.428736	-1.504071E-1
10/3/2021  19:53:50.428739	-1.996408E+0	10/3/2021  19:53:50.428741	-1.451758E-1
10/3/2021  19:53:50.428744	-1.924477E+0	10/3/2021  19:53:50.428746	-1.415793E-1
10/3/2021  19:53:50.428749	-1.850912E+0	10/3/2021  19:53:50.428751	-1.350402E-1
10/3/2021  19:53:50.428754	-1.775712E+0	10/3/2021  19:53:50.428756	-1.307897E-1
10/3/2021  19:53:50.428759	-1.699531E+0	10/3/2021  19:53:50.428761	-1.262123E-1
10/3/2021  19:53:50.428764	-1.620080E+0	10/3/2021  19:53:50.428766	-1.219619E-1
10/3/2021  19:53:50.428769	-1.540956E+0	10/3/2021  19:53:50.428771	-1.167306E-1
10/3/2021  19:53:50.428774	-1.459217E+0	10/3/2021  19:53:50.428776	-1.101914E-1
10/3/2021  19:53:50.428779	-1.376170E+0	10/3/2021  19:53:50.428781	-1.046331E-1
10/3/2021  19:53:50.428784	-1.291815E+0	10/3/2021  19:53:50.428786	-1.003827E-1
10/3/2021  19:53:50.428789	-1.205171E+0	10/3/2021  19:53:50.428791	-9.449746E-2
10/3/2021  19:53:50.428794	-1.120162E+0	10/3/2021  19:53:50.428796	-8.893919E-2
10/3/2021  19:53:50.428799	-1.030903E+0	10/3/2021  19:53:50.428801	-8.338092E-2
10/3/2021  19:53:50.428804	-9.422976E-1	10/3/2021  19:53:50.428806	-7.814960E-2
10/3/2021  19:53:50.428809	-8.523843E-1	10/3/2021  19:53:50.428811	-7.062958E-2
10/3/2021  19:53:50.428814	-7.618172E-1	10/3/2021  19:53:50.428816	-6.474435E-2
10/3/2021  19:53:50.428819	-6.696152E-1	10/3/2021  19:53:50.428821	-5.918608E-2
10/3/2021  19:53:50.428824	-5.780672E-1	10/3/2021  19:53:50.428826	-5.330085E-2
10/3/2021  19:53:50.428829	-4.845574E-1	10/3/2021  19:53:50.428831	-4.774258E-2
10/3/2021  19:53:50.428834	-3.907207E-1	10/3/2021  19:53:50.428836	-4.022256E-2
10/3/2021  19:53:50.428839	-2.975379E-1	10/3/2021  19:53:50.428841	-3.401037E-2
10/3/2021  19:53:50.428844	-2.040281E-1	10/3/2021  19:53:50.428846	-2.812514E-2
10/3/2021  19:53:50.428849	-1.092105E-1	10/3/2021  19:53:50.428851	-2.191296E-2
10/3/2021  19:53:50.428854	-1.602773E-2	10/3/2021  19:53:50.428856	-1.406598E-2
10/3/2021  19:53:50.428859	7.846291E-2	10/3/2021  19:53:50.428861	-7.853796E-3
10/3/2021  19:53:50.428864	1.739344E-1	10/3/2021  19:53:50.428866	-6.821996E-6
10/3/2021  19:53:50.428869	2.674442E-1	10/3/2021  19:53:50.428871	1.568713E-2
10/3/2021  19:53:50.428874	3.606270E-1	10/3/2021  19:53:50.428876	5.394112E-2
10/3/2021  19:53:50.428879	4.538098E-1	10/3/2021  19:53:50.428881	1.150821E-1
10/3/2021  19:53:50.428884	5.460118E-1	10/3/2021  19:53:50.428886	1.873397E-1
10/3/2021  19:53:50.428889	6.382137E-1	10/3/2021  19:53:50.428891	2.654825E-1
10/3/2021  19:53:50.428894	7.297617E-1	10/3/2021  19:53:50.428896	3.449331E-1
10/3/2021  19:53:50.428899	8.206558E-1	10/3/2021  19:53:50.428901	4.263454E-1
10/3/2021  19:53:50.428904	9.108960E-1	10/3/2021  19:53:50.428906	5.084117E-1
10/3/2021  19:53:50.428909	9.998284E-1	10/3/2021  19:53:50.428911	5.904779E-1
10/3/2021  19:53:50.428914	1.088107E+0	10/3/2021  19:53:50.428916	6.735251E-1
10/3/2021  19:53:50.428919	1.174751E+0	10/3/2021  19:53:50.428921	7.549374E-1
10/3/2021  19:53:50.428924	1.260740E+0	10/3/2021  19:53:50.428926	8.356959E-1
10/3/2021  19:53:50.428929	1.345422E+0	10/3/2021  19:53:50.428931	9.164543E-1
10/3/2021  19:53:50.428934	1.428469E+0	10/3/2021  19:53:50.428936	9.949240E-1
10/3/2021  19:53:50.428939	1.509882E+0	10/3/2021  19:53:50.428941	1.074048E+0
10/3/2021  19:53:50.428944	1.591948E+0	10/3/2021  19:53:50.428946	1.150883E+0
10/3/2021  19:53:50.428949	1.669764E+0	10/3/2021  19:53:50.428951	1.226083E+0
10/3/2021  19:53:50.428954	1.745291E+0	10/3/2021  19:53:50.428956	1.300956E+0
10/3/2021  19:53:50.428959	1.821472E+0	10/3/2021  19:53:50.428961	1.373867E+0
10/3/2021  19:53:50.428964	1.895691E+0	10/3/2021  19:53:50.428966	1.445144E+0
10/3/2021  19:53:50.428969	1.966968E+0	10/3/2021  19:53:50.428971	1.514459E+0
10/3/2021  19:53:50.428974	2.036610E+0	10/3/2021  19:53:50.428976	1.580831E+0
10/3/2021  19:53:50.428979	2.104617E+0	10/3/2021  19:53:50.428981	1.646877E+0
10/3/2021  19:53:50.428984	2.170008E+0	10/3/2021  19:53:50.428986	1.710960E+0
10/3/2021  19:53:50.428989	2.234746E+0	10/3/2021  19:53:50.428991	1.771447E+0
